,name,upjong,address_x,category,rating,평점_건수,평점_합계,평점_평균,평점_표준편차,Column1,address_y,Latitude,Longitude,상태
3513,씨유서귀동광로점,편의점,제주특별자치도 서귀포시 안덕면 동광로 257,안덕면,5.0,45.0,185.5,4.122222222222222,1.118824238550308,1170126.0,제주특별자치도 서귀포시 안덕면 동광로 257,33.31809,126.3458,정좌표
3514,커피스케치,커피숍,"제주특별자치도 서귀포시 안덕면 사계남로216번길 24-32, 2층",안덕면,4.5,526.0,2538.5,4.826045627376426,0.45425643042321706,1170232.0,"제주특별자치도 서귀포시 안덕면 사계남로216번길 24-32, 2층",33.23337,126.3133,정좌표
3515,카페사계리,커피숍,"제주특별자치도 서귀포시 안덕면 사계로 112, 1,2층",안덕면,5.0,12.0,58.0,4.833333333333333,0.44381268229929727,1171300.0,"제주특별자치도 서귀포시 안덕면 사계로 112, 1,2층",33.24027,126.3003,정좌표
3516,카페오션브릭,커피숍,제주특별자치도 서귀포시 안덕면 산방로 75-5,안덕면,5.0,28.0,128.5,4.589285714285714,0.5782087830752808,1171324.0,제주특별자치도 서귀포시 안덕면 산방로 75-5,33.24172,126.3246,정좌표
3517,요망진브릭,일반조리판매,"제주특별자치도 서귀포시 안덕면 산방로 75-3, A동 1층",안덕면,5.0,1.0,5.0,5.0,,1171788.0,"제주특별자치도 서귀포시 안덕면 산방로 75-3, A동 1층",33.24203,126.325,정좌표
3518,청춘당꽈배기서부점,패스트푸드,"제주특별자치도 서귀포시 안덕면 신화역사로 502, 1층",안덕면,5.0,122.0,517.0,4.237704918032787,0.9495825850134032,1171790.0,"제주특별자치도 서귀포시 안덕면 신화역사로 502, 1층",33.31002,126.3413,정좌표
3519,데니스커피용머리해안점,커피숍,"제주특별자치도 서귀포시 안덕면 사계남로216번길 31, 지음빌딩 1층 101호",안덕면,5.0,25.0,113.5,4.54,0.7059272861515788,1172064.0,"제주특별자치도 서귀포시 안덕면 사계남로216번길 31, 지음빌딩 1층 101호",33.23381,126.3099,정좌표
3520,아꼬운상점,커피숍,"제주특별자치도 서귀포시 안덕면 사계남로216번길 31, 1층 108호",안덕면,4.0,10.0,46.5,4.65,0.47434164902525694,1172122.0,"제주특별자치도 서귀포시 안덕면 사계남로216번길 31, 1층 108호",33.23381,126.3099,정좌표
3521,리치망고신화월드점,커피숍,"제주특별자치도 서귀포시 안덕면 신화역사로304번길 38, 지하1층",안덕면,5.0,97.0,431.0,4.443298969072165,0.8129046705711723,1172142.0,"제주특별자치도 서귀포시 안덕면 신화역사로304번길 38, 지하1층",33.30498,126.3164,정좌표
3522,제주그림카페,커피숍,"제주특별자치도 서귀포시 안덕면 녹차분재로 218, 제주항공우주박물관 전망대동 3층",안덕면,5.0,382.0,1742.5,4.56151832460733,0.6435717250471202,1172340.0,"제주특별자치도 서귀포시 안덕면 녹차분재로 218, 제주항공우주박물관 전망대동 3층",33.30376,126.3016,정좌표
3523,슬레이트룸커피,커피숍,제주특별자치도 서귀포시 안덕면 덕수서로 169,안덕면,4.0,74.0,332.0,4.486486486486487,0.8316223333306625,1173120.0,제주특별자치도 서귀포시 안덕면 덕수서로 169,33.26549,126.3045,정좌표
3524,동광분교인디이스트,커피숍,제주특별자치도 서귀포시 안덕면 동광로 107,안덕면,5.0,55.0,266.5,4.845454545454546,0.3315609445225115,1173278.0,제주특별자치도 서귀포시 안덕면 동광로 107,33.3065,126.3376,정좌표
