Column2,name,upjong,address_x,category,평점_건수,평점_합계,평점_평균,평점_표준편차,Latitude,Longitude,상태
706,명품대구막창,식육(숯불구이),제주특별자치도 제주시 연동8길 4 (연동),제주시,1,5,5,,33.4854546,126.4904817,정좌표
707,진진,한식,제주특별자치도 제주시 선덕로5길 19 (연동),제주시,10,47.5,4.75,0.353553391,33.4878975,126.5000993,정좌표
708,원우정,한식,"제주특별자치도 제주시 다랑곶1길 6 (노형동,(다랑굿1로12))",제주시,9,35,3.888888889,1.672904992,33.4879309,126.4808146,정좌표
709,올리브와뽀빠이,한식,"제주특별자치도 제주시 신광로 32-1 (연동,(신광로44))",제주시,2,8,4,1.414213562,33.4882944,126.4898761,정좌표
710,도남오거리도남점,식육(숯불구이),"제주특별자치도 제주시 도남로6길 16, 1~2층 (도남동)",제주시,6,23.5,3.916666667,1.319722193,33.4965521,126.5261342,정좌표
711,돈마니,기타,"제주특별자치도 제주시 월랑로10길 33, 1층 (노형동)",제주시,74,370,5,0,33.4909959,126.4784882,정좌표
712,크레베떼,기타,"제주특별자치도 제주시 조천읍 함덕로 28, 2층",제주시,10,44,4.4,1.100504935,33.5419571,126.6723272,정좌표
713,(주)삼다도횟집,횟집,제주특별자치도 제주시 서해안로 572 (용담삼동),제주시,10,43.5,4.35,0.818195847,33.5190034,126.4993699,정좌표
714,현미,한식,"제주특별자치도 제주시 월대6길 17 (외도이동,(월대1로21))",제주시,1,5,5,,33.4925814,126.4357415,정좌표
715,조근아지망,한식,제주특별자치도 제주시 우정로 2 (외도일동),제주시,10,47,4.7,0.53748385,33.4924527,126.4299172,정좌표
716,오름해산물,한식,제주특별자치도 제주시 국기로2길 2-5 (연동),제주시,9,39,4.333333333,1.322875656,33.4793727,126.4903376,정좌표
717,일도촌,탕류(보신용),"제주특별자치도 제주시 천수로8길 7, 1층 (일도이동)",제주시,7,34,4.857142857,0.243975018,33.5030578,126.5429035,정좌표
718,여가,한식,"제주특별자치도 제주시 서광로32길 26, 2층 (이도이동)",제주시,4,17,4.25,0.957427108,33.4984196,126.5290457,정좌표
719,아바이순대,한식,"제주특별자치도 제주시 도남로16길 17 (도남동,1층)",제주시,17,73,4.294117647,0.662825946,33.491252,126.5271375,정좌표
720,삼대전통고기국수,한식,제주특별자치도 제주시 신대로5길 17 (연동),제주시,10,39,3.9,1.822696415,33.4929576,126.4986605,정좌표
721,양푼왕갈비,한식,제주특별자치도 제주시 선덕로 14 (연동),제주시,10,41,4.1,1.349897115,33.4854098,126.498071,정좌표
722,돌담흑돼지,식육(숯불구이),"제주특별자치도 제주시 연동7길 35, 2층 (연동)",제주시,10,50,5,0,33.4867536,126.4909099,정좌표
723,일품연황찜닭,한식,제주특별자치도 제주시 연동1길 14 (연동),제주시,1,5,5,,33.4887891,126.4866052,정좌표
724,뒷골목소주집,한식,제주특별자치도 제주시 도남로7길 39 (도남동),제주시,2,10,5,0,33.4968018,126.5273481,정좌표
725,서울명동칼국수,한식,제주특별자치도 제주시 조천읍 일주동로 780,제주시,9,42,4.666666667,0.559016994,33.5309841,126.6247574,정좌표
726,조개마당,횟집,"제주특별자치도 제주시 제원길 8, 1층 (연동)",제주시,9,39.5,4.388888889,1.495363204,33.4891939,126.4893354,정좌표
727,가야성,중국식,"제주특별자치도 제주시 남녕로 51 (노형동,(남녕로73))",제주시,7,28.5,4.071428571,1.272418021,33.4917262,126.479376,정좌표
728,돌솥마당,한식,제주특별자치도 제주시 고마로16길 8 (일도이동),제주시,2,7.5,3.75,1.060660172,33.5056193,126.5402368,정좌표
729,도진식당,한식,제주특별자치도 제주시 국기중길 27 (연동),제주시,6,23.5,3.916666667,0.801040989,33.4790482,126.4923411,정좌표
730,깐깐한족발,식육(숯불구이),제주특별자치도 제주시 한라대학로 86 (노형동),제주시,10,44.5,4.45,1.012422837,33.4761458,126.4792577,정좌표
731,아랑,한식,제주특별자치도 제주시 선덕로5길 25 (연동),제주시,10,42.5,4.25,0.824957911,33.4874494,126.5000263,정좌표
732,투접시족발도남점,식육(숯불구이),"제주특별자치도 제주시 신성로 69, 1층 (도남동)",제주시,1,5,5,,33.4955147,126.5268469,정좌표
733,순조은참치,일식,제주특별자치도 제주시 고마로 148 (이도이동),제주시,1,4,4,,33.5014736,126.5431162,정좌표
734,장씨네,식육(숯불구이),"제주특별자치도 제주시 서사로 78 (삼도일동, 제1호)",제주시,4,16,4,0.816496581,33.505486,126.5197312,정좌표
735,통영아귀찜,한식,제주특별자치도 제주시 번영로 535 (봉개동),제주시,9,35,3.888888889,1.386943081,33.4885432,126.5985342,정좌표
736,이노우에스시,일식,"제주특별자치도 제주시 과원로 78-1 (연동,(1층))",제주시,9,36,4,1.600781059,33.4771542,126.491468,정좌표
737,복진,한식,제주특별자치도 제주시 승천로 12 (이도이동),제주시,2,9,4.5,0.707106781,33.4966448,126.5386076,정좌표
738,원호수아구찜,한식,제주특별자치도 제주시 다랑곶5길 14 (노형동),제주시,3,14,4.666666667,0.577350269,33.489382,126.4799464,정좌표
739,우도밥상,한식,제주특별자치도 제주시 우도면 우도해안길 170,제주시,10,45,4.5,0.707106781,33.4956438,126.9444234,정좌표
740,다인양곱창,식육(숯불구이),제주특별자치도 제주시 삼무로3길 40 (연동),제주시,9,45,5,0,33.4905774,126.4916754,정좌표
741,어멍밥집,한식,제주특별자치도 제주시 중앙로24길 18 (삼도이동),제주시,2,8,4,1.414213562,33.5062663,126.5233232,정좌표
742,정주네식당,식육(숯불구이),"제주특별자치도 제주시 중앙로1길 22 (건입동,(1층))",제주시,10,32,3.2,1.974841766,33.5161295,126.5271896,정좌표
743,김씨며느리,한식,제주특별자치도 제주시 문송길 25 (연동),제주시,4,18,4.5,1,33.487539,126.4974543,정좌표
744,산호반점,중국식,제주특별자치도 제주시 우도면 우도해안길 252,제주시,9,35.5,3.944444444,0.583333333,33.5074342,126.954269,정좌표
745,다모인식당,한식,제주특별자치도 제주시 원노형남2길 33 (노형동),제주시,2,10,5,0,33.4827058,126.4845764,정좌표
746,고기나라야채나라,식육(숯불구이),"제주특별자치도 제주시 중앙로24길 23 (삼도이동,(덕성로35))",제주시,7,32,4.571428571,0.731925055,33.5058204,126.5228249,정좌표
