,사업장명,업종구분대분류,업종구분소분류,소재지전체주소,naver_map_url
1665,불막열삼신서귀포점,일반음식점,한식,제주특별자치도 서귀포시 강정동 167-3 ,https://pcmap.place.naver.com/restaurant/1376563983/review/visitor#
1667,석이네식당,일반음식점,한식,제주특별자치도 서귀포시 서호동 1476-4번지 ,https://pcmap.place.naver.com/restaurant/16902917/review/visitor#
1668,꽃님이네,일반음식점,까페,제주특별자치도 서귀포시 서귀동 291-11번지 ,https://pcmap.place.naver.com/restaurant/1217948473/review/visitor#
1671,낭만토종닭,일반음식점,한식,제주특별자치도 서귀포시 서귀동 101-4 ,https://pcmap.place.naver.com/restaurant/1220412328/review/visitor#
1672,용흥정가네식당,일반음식점,한식,제주특별자치도 서귀포시 강정동 3433-3번지 ,https://pcmap.place.naver.com/restaurant/16929840/review/visitor#
1677,성읍칠십리식당,일반음식점,한식,제주특별자치도 서귀포시 표선면 성읍리 580번지 ,https://pcmap.place.naver.com/restaurant/11839070/review/visitor#
1678,남촌가든,일반음식점,한식,제주특별자치도 서귀포시 남원읍 남원리 182-5번지 ,https://pcmap.place.naver.com/restaurant/1311431988/review/visitor#
1681,남원대화원,일반음식점,한식,제주특별자치도 서귀포시 남원읍 남원리 206-7번지 ,https://pcmap.place.naver.com/restaurant/1625392672/review/visitor#
1682,낭밭식당,일반음식점,한식,제주특별자치도 서귀포시 표선면 성읍리 1650-3 ,https://pcmap.place.naver.com/restaurant/11608234/review/visitor#
1685,법환어촌계해녀식당,일반음식점,횟집,제주특별자치도 서귀포시 법환동 163-3 ,https://pcmap.place.naver.com/restaurant/33050019/review/visitor#
1687,우가네순대국밥,일반음식점,한식,제주특별자치도 서귀포시 강정동 4052-3번지 ,https://pcmap.place.naver.com/restaurant/16929822/review/visitor#
1688,동해옛날보리빵,일반음식점,기타,제주특별자치도 서귀포시 중문동 2119-3번지 ,https://pcmap.place.naver.com/restaurant/1464649076/review/visitor#
1689,덕성식당,일반음식점,한식,제주특별자치도 서귀포시 안덕면 사계리 2130번지 ,https://pcmap.place.naver.com/restaurant/1817839703/review/visitor#
1693,벌집식당,일반음식점,한식,제주특별자치도 서귀포시 서귀동 573-3번지 ,https://pcmap.place.naver.com/restaurant/11839359/review/visitor#
1694,이디올레,일반음식점,한식,제주특별자치도 서귀포시 서귀동 267-10번지 ,https://pcmap.place.naver.com/restaurant/20031014/review/visitor#
1698,즐마클럽,일반음식점,호프/통닭,제주특별자치도 서귀포시 서귀동 290-2번지 ,https://pcmap.place.naver.com/restaurant/1258266203/review/visitor#
1700,어멍뚝배기,일반음식점,한식,제주특별자치도 서귀포시 서귀동 768번지 ,https://pcmap.place.naver.com/restaurant/1316503131/review/visitor#
1701,왕자반점,일반음식점,중국식,제주특별자치도 서귀포시 서귀동 220-18번지 ,https://pcmap.place.naver.com/restaurant/16966214/review/visitor#
1702,정의원님식당,일반음식점,한식,제주특별자치도 서귀포시 표선면 성읍리 987-12번지 ,https://pcmap.place.naver.com/restaurant/20259756/review/visitor#
1704,마주앉아,일반음식점,한식,제주특별자치도 서귀포시 서귀동 408-4번지 ,https://pcmap.place.naver.com/restaurant/19770896/review/visitor#
1707,성읍탐라식당,일반음식점,한식,제주특별자치도 서귀포시 표선면 성읍리 1627번지 ,https://pcmap.place.naver.com/restaurant/13444961/review/visitor#
1708,가마솥뼈다귀해장국,일반음식점,한식,제주특별자치도 서귀포시 성산읍 성산리 235-3번지 ,https://pcmap.place.naver.com/restaurant/1952967096/review/visitor#
1709,만덕이네,일반음식점,한식,제주특별자치도 서귀포시 표선면 성읍리 1623-3번지 ,https://pcmap.place.naver.com/restaurant/16963907/review/visitor#
1711,새만부정,일반음식점,복어취급,제주특별자치도 서귀포시 서귀동 72번지 ,https://pcmap.place.naver.com/restaurant/16965214/review/visitor#
1714,성읍신토불이,일반음식점,한식,제주특별자치도 서귀포시 표선면 성읍리 1380-3번지 ,https://pcmap.place.naver.com/restaurant/16963419/review/visitor#
1719,동환식당,일반음식점,한식,제주특별자치도 서귀포시 법환동 223번지 ,https://pcmap.place.naver.com/restaurant/16901064/review/visitor#
1721,대정고을식당,일반음식점,한식,제주특별자치도 서귀포시 대정읍 인성리 251-1번지 ,https://pcmap.place.naver.com/restaurant/16939739/review/visitor#
1723,알랑가하우스,일반음식점,일식,제주특별자치도 서귀포시 안덕면 사계리 2078번지 ,https://pcmap.place.naver.com/restaurant/37822734/review/visitor#
1725,수궁식당,일반음식점,한식,제주특별자치도 서귀포시 서귀동 322-12번지 ,https://pcmap.place.naver.com/restaurant/16975099/review/visitor#
1727,해리네,일반음식점,횟집,제주특별자치도 서귀포시 대정읍 하모리 770-39번지 ,https://pcmap.place.naver.com/restaurant/1168438136/review/visitor#
1728,카페카노푸스,일반음식점,경양식,제주특별자치도 서귀포시 중문동 2563-1번지 ,https://pcmap.place.naver.com/restaurant/37402299/review/visitor#
1729,미조리횟집,일반음식점,일식,제주특별자치도 서귀포시 남원읍 신례리 27-1번지 ,https://pcmap.place.naver.com/restaurant/16947258/review/visitor#
1730,나들이분식,일반음식점,분식,제주특별자치도 서귀포시 서귀동 214번지 ,https://pcmap.place.naver.com/restaurant/21761478/review/visitor#
1731,위호텔 아잘리아,일반음식점,한식,제주특별자치도 서귀포시 회수동 30번지 ,https://pcmap.place.naver.com/restaurant/37402302/review/visitor#
