Column1,사업장명,사업장명add,업종구분대분류,업종구분소분류,주소,naver_map_url
3409,쯔루네,쯔루네제주특별자치도 제주시 구좌읍 김녕로1길 90,일반음식점,한식,제주특별자치도 제주시 구좌읍 김녕로1길 90,
3410,작은사진관,작은사진관제주특별자치도 제주시 서광로29길 21,일반음식점,까페,제주특별자치도 제주시 서광로29길 21,
3411,돌고래식당,돌고래식당제주특별자치도 제주시 한림읍 한림해안로 139,일반음식점,기타,제주특별자치도 제주시 한림읍 한림해안로 139,
3412,제주협재밥집술집홍대부부,제주협재밥집술집홍대부부제주특별자치도 제주시 한림읍 협재4길 9,일반음식점,기타,제주특별자치도 제주시 한림읍 협재4길 9,
3413,종이시계,종이시계제주특별자치도 제주시 애월읍 애월해안로 899,일반음식점,한식,제주특별자치도 제주시 애월읍 애월해안로 899,
3414,아라평화,아라평화제주특별자치도 제주시 중앙로 486,일반음식점,중국식,제주특별자치도 제주시 중앙로 486,
3415,재혁이네국수,재혁이네국수제주특별자치도 제주시 구남로 24,일반음식점,한식,제주특별자치도 제주시 구남로 24,
3416,뚱아저씨화덕피자3호점,뚱아저씨화덕피자3호점제주특별자치도 제주시 서흘4길 17,일반음식점,기타,제주특별자치도 제주시 서흘4길 17,
3417,맘스터치함덕점,맘스터치함덕점제주특별자치도 제주시 조천읍 함덕로 38,일반음식점,통닭(치킨),제주특별자치도 제주시 조천읍 함덕로 38,
3418,쿠주소셜카페제주,쿠주소셜카페제주제주특별자치도 제주시 서광로32길 26-4,일반음식점,호프/통닭,제주특별자치도 제주시 서광로32길 26-4,
3419,보리수,보리수제주특별자치도 제주시 다랑곶길 29,일반음식점,호프/통닭,제주특별자치도 제주시 다랑곶길 29,
3420,데이지,데이지제주특별자치도 제주시 서사로 129,일반음식점,경양식,제주특별자치도 제주시 서사로 129,
3421,와이,와이제주특별자치도 제주시 과원북4길 91,일반음식점,까페,제주특별자치도 제주시 과원북4길 91,
3422,현우식당,현우식당제주특별자치도 제주시 조천읍 북촌1길 9,일반음식점,한식,제주특별자치도 제주시 조천읍 북촌1길 9,
3423,호텔지,호텔지제주특별자치도 제주시 남성로 117,일반음식점,한식,제주특별자치도 제주시 남성로 117,
3424,비어준,비어준제주특별자치도 제주시 연삼로 504 (이도이동),일반음식점,통닭(치킨),제주특별자치도 제주시 연삼로 504 (이도이동),
