,name,upjong,address,category,rat_count,rat_avg,Latitude,Longitude
116,그마니네,한식,제주특별자치도 제주시 애월읍 일주서로 7219,애월읍,112,4.6071428569999995,33.4893844,126.4193291
117,대호해물가든,한식,"제주특별자치도 제주시 애월읍 항몽로 134, 1~2층",애월읍,19,3.631578947,33.472511499999996,126.40901029999999
118,고집78,기타,"제주특별자치도 제주시 애월읍 부룡수길 50, 1층",애월읍,12,4.75,33.4746076,126.35779620000001
119,봉성식당,한식,"제주특별자치도 제주시 애월읍 봉성로 66, 1층",애월읍,180,4.561111111000001,33.4186696,126.31268090000002
120,하귀밀면,한식,"제주특별자치도 제주시 애월읍 하광로 15, 1층",애월읍,21,4.380952381,33.462194399999994,126.4227085
121,머구리,한식,"제주특별자치도 제주시 애월읍 가문동길 63, 1층",애월읍,16,4.0625,33.4875675,126.39128429999998
122,다다의작은공간,한식,제주특별자치도 제주시 애월읍 광상로 528-1,애월읍,24,4.645833333,33.4414143,126.3779121
123,회가서쪽에서뜨겠네,한식,"제주특별자치도 제주시 애월읍 애월로 12, 1층",애월읍,323,4.770897833,33.4654486,126.3206426
124,목수포차,기타,"제주특별자치도 제주시 애월읍 고내북동길 51-22, 1층",애월읍,25,4.8,33.4690303,126.3419283
125,허황후김치찜,한식,"제주특별자치도 제주시 애월읍 해암이길 186, 1층",애월읍,1,4.0,33.4202883,126.3328561
126,애월해송수산물회센타,횟집,"제주특별자치도 제주시 애월읍 애월로11길 23, 1층",애월읍,240,4.125,33.466328600000004,126.3205148
127,하미,기타,"제주특별자치도 제주시 애월읍 애월북서길 54, 1층",애월읍,565,3.962831858,33.466225099999996,126.31074579999999
128,어음밥집,기타,"제주특별자치도 제주시 애월읍 어림비로 393-1, 1층",애월읍,6,4.666666667,33.4020841,126.33921780000001
129,모아나디쉬,기타,"제주특별자치도 제주시 애월읍 일주서로 7087-12, 1층",애월읍,587,4.648211244,33.484722399999995,126.4063706
130,스시아리엔,기타,"제주특별자치도 제주시 애월읍 하귀동남3길 4, 1층",애월읍,18,4.694444444,33.4849584,126.41558229999998
131,제주이와이,기타,"제주특별자치도 제주시 애월읍 하귀로 4, 1층",애월읍,23,4.869565217,33.4805276,126.4021784
132,우굼,기타,"제주특별자치도 제주시 애월읍 하소로 611-42, 1층",애월읍,102,4.348039216,33.4294575,126.3992538
133,황제중화요리,기타,"제주특별자치도 제주시 애월읍 광령5길 6, 1층",애월읍,10,3.9,33.460949,126.43585709999999
134,곽지뽕끌락,한식,"제주특별자치도 제주시 애월읍 일주서로 6001, 1층",애월읍,5,4.4,33.466277000000005,126.35111140000001
135,봉구식탁,경양식,"제주특별자치도 제주시 애월읍 유수암평화길 14-3, 1층",애월읍,66,4.795454545,33.441084499999995,126.40271909999998
136,통큰코다리하귀점,한식,"제주특별자치도 제주시 애월읍 하귀9길 19, 1층",애월읍,6,4.25,33.482686300000005,126.415916
137,명랑부대찌개,한식,"제주특별자치도 제주시 애월읍 애월로11길 3, 1층",애월읍,21,4.6428571430000005,33.4646882,126.32027649999999
138,다운타우너제주애월,경양식,"제주특별자치도 제주시 애월읍 애월로1길 24-9, 1동 1~2층",애월읍,807,4.497521685,33.4632492,126.30979440000002
139,보말이네,한식,"제주특별자치도 제주시 애월읍 유수암평화5길 51, 가동 1층",애월읍,116,4.75,33.424382,126.40516869999999
140,라이진,중국식,"제주특별자치도 제주시 애월읍 하광로 463-1, 1층",애월읍,27,4.962962963,33.4498906,126.42908759999999
141,혁이네식당,기타,"제주특별자치도 제주시 애월읍 광령남3길 9, 1층",애월읍,16,4.5625,33.4505474,126.43198229999999
142,상하이,기타,"제주특별자치도 제주시 애월읍 유수암서길 22, 1층",애월읍,13,4.230769231,33.429504,126.39448440000001
143,정가네,한식,제주특별자치도 서귀포시 안덕면 소기왓로 7,안덕면,3,4.5,33.235671999999994,126.3676591
144,양자강,중국식,"제주특별자치도 서귀포시 안덕면 화순중앙로54번길 10, 2층",안덕면,26,4.346153846,33.2473678,126.3349284
145,어멍국수,한식,제주특별자치도 서귀포시 안덕면 화순로 101,안덕면,6,4.666666667,33.2465587,126.335771
146,서광우리집식당,한식,제주특별자치도 서귀포시 안덕면 녹차분재로59번길 8,안덕면,29,4.862068966,33.290525300000006,126.30065559999998
147,바당칼국수,한식,제주특별자치도 서귀포시 안덕면 형제해안로 22,안덕면,77,4.149350649,33.2279732,126.3042898
148,난드르깡통구이,한식,제주특별자치도 서귀포시 안덕면 대평감산로 14,안덕면,73,4.397260274,33.2361322,126.3670047
149,산드레,기타,제주특별자치도 서귀포시 안덕면 녹차분재로 193,안덕면,15,3.766666667,33.2923161,126.2996588
150,까사디노아,경양식,제주특별자치도 서귀포시 안덕면 대평로 42,안덕면,92,4.114130435,33.2374039,126.3631949
151,페를로,경양식,"제주특별자치도 서귀포시 안덕면 덕수회관로74번길 33, 1층",안덕면,382,4.506544503,33.2566272,126.30651029999999
152,빽가한우불고기,한식,"제주특별자치도 서귀포시 안덕면 덕수회관로61번길 40, 1층",안덕면,38,4.513157895,33.2527415,126.30965819999999
153,산방산우리동네,한식,제주특별자치도 서귀포시 안덕면 산방로 289,안덕면,47,4.744680851,33.2386241,126.3146142
154,뼈해장순대해장돈풍년,한식,제주특별자치도 서귀포시 안덕면 사계남로21번길 13,안덕면,1,5.0,33.2299383,126.2944628
155,고할망네,한식,제주특별자치도 서귀포시 안덕면 사계남로 159-1,안덕면,39,4.692307692,33.2285158,126.3070598
156,광성식당,한식,제주특별자치도 서귀포시 안덕면 화순해안로106번길 12,안덕면,53,4.6320754719999995,33.2379287,126.3366308
157,덕수아이흑돼지,한식,제주특별자치도 서귀포시 안덕면 덕수회관로 88,안덕면,32,4.65625,33.2546732,126.3078152
