,사업장명,사업장명add,업종구분대분류,업종구분소분류,주소,naver_map_url
67,동문감자탕,동문감자탕제주특별자치도 제주시 중앙로13길 25-2,일반음식점,한식,제주특별자치도 제주시 중앙로13길 25-2,https://pcmap.place.naver.com/restaurant/1860973941/review/visitor#
71,역전할머니맥주제주시청점,역전할머니맥주제주시청점제주특별자치도 제주시 광양8길 4,일반음식점,호프/통닭,제주특별자치도 제주시 광양8길 4,https://pcmap.place.naver.com/restaurant/1032183941/review/visitor#
72,베드라디오,베드라디오제주특별자치도 제주시 중앙로1길 41-1,일반음식점,기타,제주특별자치도 제주시 중앙로1길 41-1,https://pcmap.place.naver.com/restaurant/1982132289/review/visitor#
73,오늘도치킨과맥주가좋다,오늘도치킨과맥주가좋다제주특별자치도 제주시 한림읍 사가길 22,일반음식점,호프/통닭,제주특별자치도 제주시 한림읍 사가길 22,https://pcmap.place.naver.com/restaurant/1476145197/review/visitor#
74,알프스인소길,알프스인소길제주특별자치도 제주시 애월읍 소길남길 22,일반음식점,기타,제주특별자치도 제주시 애월읍 소길남길 22,https://pcmap.place.naver.com/restaurant/1195039166/review/visitor#
79,커피베이노형점,커피베이노형점제주특별자치도 제주시 월랑로10길 23,일반음식점,기타,제주특별자치도 제주시 월랑로10길 23,https://pcmap.place.naver.com/restaurant/1147071707/review/visitor#
80,젠틀래빗제주연동점,젠틀래빗제주연동점제주특별자치도 제주시 연동12길 4,일반음식점,패밀리레스트랑,제주특별자치도 제주시 연동12길 4,https://pcmap.place.naver.com/restaurant/1058918788/review/visitor#
82,원스몰글라스,원스몰글라스제주특별자치도 제주시 서광로32길 27-3,일반음식점,기타,제주특별자치도 제주시 서광로32길 27-3,https://pcmap.place.naver.com/restaurant/1895310981/review/visitor#
83,제주울어멍김밥,제주울어멍김밥제주특별자치도 제주시 진군2길 17,일반음식점,한식,제주특별자치도 제주시 진군2길 17,https://pcmap.place.naver.com/restaurant/37935817/review/visitor#
84,알작지,알작지제주특별자치도 제주시 내도3길 21,일반음식점,기타,제주특별자치도 제주시 내도3길 21,https://pcmap.place.naver.com/restaurant/1361344064/review/visitor#
85,미리로,미리로제주특별자치도 제주시 테우해안로 136,일반음식점,기타,제주특별자치도 제주시 테우해안로 136,https://pcmap.place.naver.com/restaurant/1900148233/review/visitor#
86,36.5도여름,36.5도여름제주특별자치도 제주시 애월읍 애납로 165,일반음식점,기타,제주특별자치도 제주시 애월읍 애납로 165,https://pcmap.place.naver.com/restaurant/1331785940/review/visitor#
87,더더,더더제주특별자치도 제주시 애월읍 엄장로 16,일반음식점,기타,제주특별자치도 제주시 애월읍 엄장로 16,https://pcmap.place.naver.com/restaurant/1195402468/review/visitor#
89,안녕전복,안녕전복제주특별자치도 제주시 관덕로 3,일반음식점,한식,제주특별자치도 제주시 관덕로 3,https://pcmap.place.naver.com/restaurant/1177829609/review/visitor#
94,과일담,과일담제주특별자치도 제주시 월랑로4길 13,일반음식점,기타,제주특별자치도 제주시 월랑로4길 13,https://pcmap.place.naver.com/restaurant/1395127008/review/visitor#
96,삼양백년짜장,삼양백년짜장제주특별자치도 제주시 설촌로12길 36,일반음식점,중국식,제주특별자치도 제주시 설촌로12길 36,https://pcmap.place.naver.com/restaurant/1734075176/review/visitor#
97,부원뚝배기,부원뚝배기제주특별자치도 제주시 한림읍 일주서로 5608,일반음식점,한식,제주특별자치도 제주시 한림읍 일주서로 5608,https://pcmap.place.naver.com/restaurant/16863333/review/visitor#
98,호탕,호탕제주특별자치도 제주시 애월읍 애월로8길 8,일반음식점,한식,제주특별자치도 제주시 애월읍 애월로8길 8,https://pcmap.place.naver.com/restaurant/1122359878/review/visitor#
100,다다미,다다미제주특별자치도 제주시 월랑로 30,일반음식점,한식,제주특별자치도 제주시 월랑로 30,https://pcmap.place.naver.com/restaurant/1973601915/review/visitor#
101,플로리카페,플로리카페제주특별자치도 제주시 연신로 188-20,일반음식점,경양식,제주특별자치도 제주시 연신로 188-20,https://pcmap.place.naver.com/restaurant/1389685596/review/visitor#
102,춘천명동닭갈비삼화점,춘천명동닭갈비삼화점제주특별자치도 제주시 화삼로1길 16,일반음식점,한식,제주특별자치도 제주시 화삼로1길 16,https://pcmap.place.naver.com/restaurant/1957151356/review/visitor#
103,제주김만복옛집,제주김만복옛집제주특별자치도 제주시 서문로 70-1,일반음식점,분식,제주특별자치도 제주시 서문로 70-1,https://pcmap.place.naver.com/restaurant/1550207124/review/visitor#
105,지나네,지나네제주특별자치도 제주시 도공로 9-1,일반음식점,기타,제주특별자치도 제주시 도공로 9-1,https://pcmap.place.naver.com/restaurant/1866200887/review/visitor#
106,프라이드프라이드하귀점,프라이드프라이드하귀점제주특별자치도 제주시 애월읍 하광로 53,일반음식점,기타,제주특별자치도 제주시 애월읍 하광로 53,https://pcmap.place.naver.com/restaurant/1807953675/review/visitor#
107,신제주황가네,신제주황가네제주특별자치도 제주시 은남3길 28,일반음식점,기타,제주특별자치도 제주시 은남3길 28,https://pcmap.place.naver.com/restaurant/1851516741/review/visitor#
108,고이정,고이정제주특별자치도 제주시 애월읍 애월로 6,일반음식점,기타,제주특별자치도 제주시 애월읍 애월로 6,https://pcmap.place.naver.com/restaurant/1418560385/review/visitor#
109,객잔,객잔제주특별자치도 제주시 삼봉로2길 18,일반음식점,기타,제주특별자치도 제주시 삼봉로2길 18,https://pcmap.place.naver.com/restaurant/1193807303/review/visitor#
110,옹포83,옹포83제주특별자치도 제주시 한림읍 옹포8길 3,일반음식점,경양식,제주특별자치도 제주시 한림읍 옹포8길 3,https://pcmap.place.naver.com/restaurant/1760747516/review/visitor#
112,가죽이랑놀자,가죽이랑놀자제주특별자치도 제주시 구좌읍 월정7길 44,일반음식점,기타,제주특별자치도 제주시 구좌읍 월정7길 44,https://pcmap.place.naver.com/restaurant/1960271714/review/visitor#
113,일품순두부함덕점,일품순두부함덕점제주특별자치도 제주시 조천읍 함와로 24,일반음식점,한식,제주특별자치도 제주시 조천읍 함와로 24,https://pcmap.place.naver.com/restaurant/1560889944/review/visitor#
114,방긋스낵,방긋스낵제주특별자치도 제주시 구좌읍 행원로1길 32-5,일반음식점,기타,제주특별자치도 제주시 구좌읍 행원로1길 32-5,https://pcmap.place.naver.com/restaurant/1061179999/review/visitor#
115,질레,질레제주특별자치도 제주시 사라봉13길 16,일반음식점,기타,제주특별자치도 제주시 사라봉13길 16,https://pcmap.place.naver.com/restaurant/1150369772/review/visitor#
116,예서갈비,예서갈비제주특별자치도 제주시 인다6길 57,일반음식점,기타,제주특별자치도 제주시 인다6길 57,https://pcmap.place.naver.com/restaurant/1704900574/review/visitor#
117,주민상회하귀점,주민상회하귀점제주특별자치도 제주시 애월읍 하광로 46,일반음식점,한식,제주특별자치도 제주시 애월읍 하광로 46,https://pcmap.place.naver.com/restaurant/1442591319/review/visitor#
119,미번베트남쌀국수,미번베트남쌀국수제주특별자치도 제주시 한림읍 한림로5길 23,일반음식점,기타,제주특별자치도 제주시 한림읍 한림로5길 23,https://pcmap.place.naver.com/restaurant/1132850338/review/visitor#
120,가나포차,가나포차제주특별자치도 제주시 신대로20길 46,일반음식점,기타,제주특별자치도 제주시 신대로20길 46,https://pcmap.place.naver.com/restaurant/1486767096/review/visitor#
