,사업장명,사업장명add,업종구분대분류,업종구분소분류,주소,naver_map_url
1014,올레담,올레담제주특별자치도 제주시 고마로 108-1,일반음식점,호프/통닭,제주특별자치도 제주시 고마로 108-1,https://pcmap.place.naver.com/restaurant/37212078/review/visitor#
1015,삼대전통고기국수,삼대전통고기국수제주특별자치도 제주시 신대로5길 17 (연동),일반음식점,한식,제주특별자치도 제주시 신대로5길 17 (연동),https://pcmap.place.naver.com/restaurant/16830846/review/visitor#
1022,명인장원삼계탕,명인장원삼계탕제주특별자치도 제주시 조천읍 조천6길 3,일반음식점,한식,제주특별자치도 제주시 조천읍 조천6길 3,https://pcmap.place.naver.com/restaurant/1686881261/review/visitor#
1023,양푼왕갈비,양푼왕갈비제주특별자치도 제주시 선덕로 14 (연동),일반음식점,한식,제주특별자치도 제주시 선덕로 14 (연동),https://pcmap.place.naver.com/restaurant/32158653/review/visitor#
1024,비비큐인제점,비비큐인제점제주특별자치도 제주시 고마로 65,일반음식점,통닭(치킨),제주특별자치도 제주시 고마로 65,https://pcmap.place.naver.com/restaurant/11799561/review/visitor#
1025,돌담흑돼지,돌담흑돼지제주특별자치도 제주시 연동7길 35,일반음식점,식육(숯불구이),제주특별자치도 제주시 연동7길 35,https://pcmap.place.naver.com/restaurant/1766357276/review/visitor#
1026,다람쥐와도토리,다람쥐와도토리제주특별자치도 제주시 수덕11길 38 (노형동),일반음식점,호프/통닭,제주특별자치도 제주시 수덕11길 38 (노형동),https://pcmap.place.naver.com/restaurant/1638084714/review/visitor#
1028,돌하르방신제주점,돌하르방신제주점제주특별자치도 제주시 신대로8길 18 (연동),일반음식점,한식,제주특별자치도 제주시 신대로8길 18 (연동),https://pcmap.place.naver.com/restaurant/32162561/review/visitor#
1030,블루레인,블루레인제주특별자치도 제주시 원노형3길 6,일반음식점,까페,제주특별자치도 제주시 원노형3길 6,https://pcmap.place.naver.com/restaurant/16800851/review/visitor#
1032,일품연황찜닭,일품연황찜닭제주특별자치도 제주시 연동1길 14 (연동),일반음식점,한식,제주특별자치도 제주시 연동1길 14 (연동),https://pcmap.place.naver.com/restaurant/1893641364/review/visitor#
1033,대복해장국,대복해장국제주특별자치도 제주시 구좌읍 김녕로 132,일반음식점,한식,제주특별자치도 제주시 구좌읍 김녕로 132,https://pcmap.place.naver.com/restaurant/17032855/review/visitor#
1034,일도바다장어구이,일도바다장어구이제주특별자치도 제주시 고마로16길 1 (일도이동),일반음식점,호프/통닭,제주특별자치도 제주시 고마로16길 1 (일도이동),https://pcmap.place.naver.com/restaurant/16691780/review/visitor#
1035,뒷골목소주집,뒷골목소주집제주특별자치도 제주시 도남로7길 39 (도남동),일반음식점,한식,제주특별자치도 제주시 도남로7길 39 (도남동),https://pcmap.place.naver.com/restaurant/1832780006/review/visitor#
1036,서울명동칼국수,서울명동칼국수제주특별자치도 제주시 조천읍 일주동로 780,일반음식점,한식,제주특별자치도 제주시 조천읍 일주동로 780,https://pcmap.place.naver.com/restaurant/20982166/review/visitor#
1038,노량진수산,노량진수산제주특별자치도 제주시 신성로 84-1 (도남동,일반음식점,호프/통닭,제주특별자치도 제주시 신성로 84-1 (도남동,https://pcmap.place.naver.com/restaurant/219556876/review/visitor#
1039,야래향비지니스바,야래향비지니스바제주특별자치도 제주시 고마로 136,일반음식점,까페,제주특별자치도 제주시 고마로 136,https://pcmap.place.naver.com/restaurant/1256200157/review/visitor#
1040,조개마당,조개마당제주특별자치도 제주시 제원길 8,일반음식점,횟집,제주특별자치도 제주시 제원길 8,https://pcmap.place.naver.com/restaurant/1694284487/review/visitor#
1041,영월갈비,영월갈비제주특별자치도 제주시 구좌읍 김녕로 95,일반음식점,한식,제주특별자치도 제주시 구좌읍 김녕로 95,https://pcmap.place.naver.com/restaurant/16881697/review/visitor#
1042,가야성,가야성제주특별자치도 제주시 남녕로 51 (노형동,일반음식점,중국식,제주특별자치도 제주시 남녕로 51 (노형동,https://pcmap.place.naver.com/restaurant/17003785/review/visitor#
1043,제주시새우리,제주시새우리제주특별자치도 제주시 무근성7길 24,일반음식점,까페,제주특별자치도 제주시 무근성7길 24,https://pcmap.place.naver.com/restaurant/1000529963/review/visitor#
